chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
1008,384,782,1660,XL
968,365,760,1671,L
831,355,545,1521,S
1034,387,742,1668,XL
1063,384,781,1654,2XL
989,365,709,1599,L
940,367,672,1673,L
897,365,595,1678,M
857,330,491,1623,S
973,372,703,1668,L
975,383,715,1644,L
832,338,488,1446,S
1032,386,730,1684,XL
904,370,610,1619,M
951,363,658,1592,L
965,370,728,1723,L
895,365,627,1634,M
944,356,578,1683,M
833,334,524,1552,S
1060,373,894,1641,XL
991,368,689,1685,L
994,371,758,1656,L
945,375,748,1608,L
1094,395,806,1664,2XL
793,340,477,1582,XS
954,379,696,1720,L
1014,373,678,1536,XL
946,382,607,1546,L
940,381,689,1605,L
943,353,617,1632,M
977,360,695,1661,L
1065,394,815,1665,2XL
900,359,645,1555,M
862,341,557,1578,S
896,360,614,1581,M
943,380,668,1698,L
1001,372,757,1651,L
982,366,682,1657,L
1031,380,786,1649,XL
924,364,622,1687,M
999,382,782,1698,XL
865,337,608,1530,S
930,370,686,1609,M
979,361,773,1606,L
1057,404,998,1745,2XL
945,379,683,1607,L
826,350,471,1560,S
978,373,685,1670,L
846,355,450,1501,S
1022,387,721,1576,XL
834,348,536,1576,S
931,369,639,1626,M
981,380,628,1604,L
1052,377,752,1538,XL
930,361,613,1620,M
937,380,742,1733,L
991,371,767,1732,L
985,378,661,1624,L
844,342,505,1507,S
985,369,666,1640,L
863,350,581,1526,S
1057,384,797,1671,2XL
992,364,679,1655,L
838,350,622,1635,S
828,356,507,1662,S
1156,405,866,1701,3XL
886,366,523,1602,M
991,369,676,1549,L
889,369,571,1677,M
907,351,644,1594,M
940,349,649,1628,M
907,366,580,1619,M
983,371,810,1690,L
892,370,654,1705,M
875,338,570,1625,S
977,361,673,1595,L
913,364,708,1643,M
943,352,538,1667,M
1032,382,771,1661,XL
878,350,602,1560,S
906,363,617,1610,M
1028,385,739,1604,XL
881,347,560,1540,S
919,363,647,1638,M
1130,405,953,1749,3XL
1002,363,748,1661,L
934,363,655,1583,M
844,346,499,1533,S
1072,395,924,1776,2XL
1084,386,716,1713,2XL
987,362,763,1687,L
965,372,591,1603,L
993,376,694,1617,L
945,377,701,1690,L
854,350,566,1623,S
825,345,467,1570,S
874,355,599,1616,S
972,377,642,1690,L
873,356,548,1588,S
844,354,485,1520,S
1000,384,753,1631,XL
938,356,636,1642,M
942,373,740,1773,L
1015,376,721,1623,XL
927,370,677,1630,M
841,334,468,1512,S
1072,385,820,1675,2XL
988,361,664,1498,L
984,380,626,1538,L
938,370,653,1567,L
866,358,539,1590,S
949,366,704,1595,L
935,363,640,1565,L
845,337,470,1523,S
949,366,597,1556,L
954,375,646,1599,L
940,361,726,1611,L
988,378,789,1674,L
969,369,625,1592,L
957,366,680,1617,L
997,377,688,1597,XL
997,365,733,1609,L
943,365,605,1696,L
934,358,722,1723,M
985,363,760,1695,L
996,369,602,1587,L
966,372,765,1712,L
908,366,671,1628,M
985,373,589,1520,L
864,356,529,1616,S
890,362,596,1649,M
958,368,676,1653,L
926,351,658,1638,M
878,347,596,1646,S
858,358,556,1530,S
870,351,561,1603,S
923,370,613,1627,M
