chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
1120,427,929,1735,XL
1208,453,1162,1810,2XL
1087,425,954,1850,L
964,406,702,1811,S
1117,412,882,1780,L
961,408,701,1733,S
1231,466,1116,1861,3XL
1060,414,896,1709,L
1092,413,924,1740,L
999,394,760,1748,S
1000,420,714,1780,M
977,395,746,1680,S
1098,410,965,1755,L
1158,442,1073,1825,XL
964,395,793,1795,S
971,403,782,1745,S
1057,400,882,1818,M
947,398,665,1675,S
1182,448,1218,1850,2XL
981,395,719,1737,S
1086,422,881,1743,L
865,386,575,1744,XS
1013,413,850,1836,M
1152,428,865,1730,XL
1096,410,958,1762,L
957,404,667,1669,S
985,388,706,1740,S
1081,419,834,1844,L
1037,406,773,1704,M
1469,448,1400,1840,3XL
858,380,566,1609,XS
1044,410,717,1709,M
1033,400,802,1679,M
1213,447,1053,1850,2XL
989,395,749,1619,S
1129,439,988,1750,XL
1063,431,987,1799,L
963,405,744,1791,S
1098,425,823,1723,L
1024,404,778,1718,M
1043,407,882,1799,M
1008,400,730,1702,M
1044,402,866,1730,M
917,395,737,1785,S
1001,403,727,1657,M
1104,421,968,1755,L
1045,409,866,1791,M
1015,405,742,1759,M
1109,417,920,1790,L
991,402,814,1782,M
844,343,646,1839,XS
1085,412,853,1738,L
1085,428,900,1734,L
1030,413,872,1815,M
1106,412,822,1673,L
1163,434,1112,1831,XL
1089,412,987,1795,L
1149,425,1105,1845,XL
1358,447,1413,1846,3XL
1025,416,789,1657,M
1000,395,690,1632,S
1026,420,792,1735,M
989,389,699,1726,S
970,385,706,1765,S
1038,415,760,1811,M
1113,417,988,1739,L
1024,413,898,1788,M
1057,404,831,1750,M
1132,438,968,1847,XL
1175,450,1080,1780,2XL
1115,420,949,1797,L
1112,435,906,1755,XL
1165,427,1069,1842,XL
1056,401,874,1656,M
1048,417,879,1776,M
1041,418,790,1685,M
1021,414,866,1825,M
1225,445,1099,1819,2XL
1102,416,951,1721,L
1194,453,1118,1910,2XL
1097,415,895,1804,L
1116,440,951,1777,XL
995,387,721,1665,S
1092,413,872,1803,L
1084,425,958,1835,L
1150,445,1123,1792,XL
1098,412,900,1721,L
1071,424,950,1809,L
1027,415,777,1705,M
1167,452,1080,1955,2XL
1082,431,840,1730,L
947,400,707,1724,S
948,401,705,1705,S
1058,411,851,1838,L
1028,412,822,1773,M
1048,408,842,1734,M
995,408,783,1757,M
1063,422,858,1641,L
1156,438,1034,1770,XL
978,402,725,1702,S
965,381,678,1715,S
1080,421,909,1710,L
1158,443,1086,1935,XL
1013,403,758,1738,M
985,393,728,1673,S
1285,459,1109,1715,3XL
1157,439,1141,1913,XL
1049,414,907,1756,M
1063,430,846,1735,L
1120,429,869,1716,XL
941,399,680,1718,S
810,383,474,1567,XS
1091,427,1078,1862,L
846,385,540,1654,XS
1071,427,871,1738,L
1172,430,1071,1813,XL
1035,411,791,1738,M
1203,457,1096,1815,2XL
1047,413,866,1689,M
977,408,756,1740,S
1014,402,834,1782,M
1041,406,812,1784,M
1082,412,845,1647,L
1166,429,941,1740,XL
967,402,644,1664,S
1078,431,907,1745,L
963,393,718,1605,S
1053,423,813,1810,L
1027,405,755,1731,M
1142,437,1079,1795,XL
1108,412,982,1752,L
1069,417,893,1814,L
1096,417,801,1640,L
1127,435,874,1728,XL
907,377,568,1606,XS
1241,448,1174,1861,3XL
1092,420,863,1761,L
1178,446,970,1754,2XL
1031,402,779,1741,M
872,375,556,1657,XS
1242,455,1096,1750,3XL
1094,428,871,1785,L
954,406,701,1666,S
1071,418,964,1837,L
1182,445,1054,1881,2XL
1162,436,1145,1900,XL
1069,416,890,1755,L
957,384,688,1730,S
1198,450,1021,1755,2XL
1172,423,1105,1762,XL
1008,400,819,1720,M
1139,445,1098,1835,XL
1076,426,965,1823,L
1045,403,674,1640,M
960,407,676,1656,S
1087,423,895,1790,L
1173,433,1016,1745,XL
1002,406,758,1677,M
1022,408,715,1725,M
1076,424,884,1748,L
820,366,459,1610,XS
1030,400,756,1705,M
1131,428,995,1833,XL
1183,437,1138,1820,2XL
1063,433,924,1814,L
1099,426,860,1782,L
1043,412,842,1717,M
1113,446,939,1860,XL
1121,426,921,1763,XL
1011,417,886,1723,M
1058,416,753,1674,L
1034,413,857,1744,M
1138,445,980,1748,XL
937,385,744,1805,S
953,405,680,1775,S
1008,400,735,1740,M
1066,418,809,1802,L
1011,411,801,1727,M
988,394,773,1717,S
1065,424,905,1850,L
962,387,866,1958,S
1094,423,845,1708,L
1228,475,1203,1923,3XL
979,400,769,1684,S
1094,425,995,1762,L
1054,422,872,1768,L
1123,424,865,1658,XL
937,392,727,1856,S
962,396,785,1792,S
998,420,744,1775,M
1056,407,818,1712,M
1131,425,873,1769,XL
969,403,697,1651,S
1000,406,824,1770,M
1145,424,999,1928,XL
1118,445,867,1751,XL
1020,402,725,1597,M
1124,442,869,1722,XL
1067,417,840,1718,L
1053,420,834,1726,L
999,404,733,1767,M
998,416,766,1744,M
1027,412,858,1680,M
915,374,560,1581,XS
1043,406,754,1731,M
1105,423,941,1825,L
1098,410,905,1736,L
933,406,650,1665,S
1109,430,977,1856,L
1121,418,894,1672,L
1042,415,876,1795,M
